title_en,title_am,similarity_score,alternative_position,reason
Expert Grant proposal writer,ኤክስፐርት ግራንት ፕሮፖዛል ጸሐፊ,0.0,Grant Writer,"Focus on writing grant proposals, common role in NGOs and projects in Ethiopia."
Junior Advisor Gender & Peace for Response to SGBV,ጀማሪ አማካሪ ጾታ እና ሰላም ለኤስጂቢቪ ምላሽ,0.0,Gender Advisor,"Advises on gender and peace issues in SGBV response, typical for humanitarian organizations."
Junior and Senior Researchers/ Consultants,ጁኒየር እና ከፍተኛ ተመራማሪዎች/ አማካሪዎች,0.0,Research Consultant,Performs research and consulting tasks at junior and senior levels.
Junior and senior Sells and Marketer,ጁኒየር እና ከፍተኛ ሽያጭ እና ገበያተኛ,0.0,Sales and Marketing Specialist,Handles sales and marketing activities across experience levels.
Junior Associate,ጁኒየር ተባባሪ,0.0,Junior Associate,Generic entry-level associate position in various industries.
Junior blockchain and cryptocurrency researcher,ጁኒየር blockchain እና cryptocurrency ተመራማሪ,0.0,Blockchain Researcher,"Conducts research on blockchain and cryptocurrency, emerging field in Ethiopia."
Junior Cheque Clearance Officer,የጁኒየር ቼክ ማጽጃ ኦፊሰር,0.0,Clearing Officer,Responsible for cheque clearance processes in banking.
Junior Claims and Recovery Officer,የጁኒየር የይገባኛል ጥያቄዎች እና መልሶ ማግኛ ኦፊሰር,0.0,Claims Officer,"Manages claims and recovery operations, common in insurance and finance."
Junior Clearing and Settlement Officer,የጁኒየር ማጽዳት እና ማቋቋሚያ ኦፊሰር,0.0,Clearing and Settlement Officer,Handles clearing and settlement of transactions in financial institutions.
Junior Collateral Valuator,ጁኒየር ኮላተራል ቫልዩተር,0.0,Valuation Officer,Values collateral assets for lending purposes in banks.
Junior Container Documentation Officer,የጁኒየር ኮንቴይነር ሰነድ ኦፊሰር,0.0,Junior Documentation Officer,Container documentation is a specific type of documentation role.
Junior Core Banking Systems Pre Sales Engineer,ጁኒየር ኮር ባንኪንግ ሲስተምስ የቅድመ ሽያጭ መሐንዲስ,0.0,Junior Pre-Sales Engineer,Core banking systems is a specialization of pre-sales engineering.
